GKZ;Name;Bezirk;Autobahnabfahrt A9
60101;Graz;Graz-Umgebung;Ja
60669;Seiersberg - Pirka;Graz-Umgebung;Ja
60608;Feldkirchen bei Graz;Graz-Umgebung;Nein
60611;Gössendorf;Graz-Umgebung;Nein
60670;Premstätten;Graz-Umgebung;Nein
60662;Fernitz-Mellach;Graz-Umgebung;Nein
60656;Wundschuh;Graz-Umgebung;Ja
60655;Werndorf;Graz-Umgebung;Nein
60624;Kalsdorf bei Graz;Graz-Umgebung;Ja
60660;Dobl-Zwaring;Graz-Umgebung;Nein
60629;Lieboch;Graz-Umgebung;Nein
60618;Haselsdorf-Tobelbad;Graz-Umgebung;Nein
61059;Wildon;Leibnitz;Ja
61001;Allerheiligen bei Wildon;Leibnitz;Nein
61055;Sankt Georgen an der Stiefing;Leibnitz;Nein
61021;Lebring-Sankt Margarethen;Leibnitz;Ja
61017;Hengsberg;Leibnitz;Nein
61020;Lang;Leibnitz;Nein
61012;Gralla;Leibnitz;Nein
61043;Tillmitsch;Leibnitz;Nein
61053;Leibnitz;Leibnitz;Ja
61027;Ragnitz;Leibnitz;Nein
61016;Heimschuh;Leibnitz;Nein
61045;Wagna;Leibnitz;Nein
61008;Gabersdorf;Leibnitz;Nein
61050;Gamlitz;Leibnitz;Nein
61049;Ehrenhausen an der Weinstraße;Leibnitz;Nein
61058;Straß in Steiermark;Leibnitz;Ja
62347;Murfeld;Südoststeiermark;Nein