GKZ;Name;Bezirk;POP_15_19;POP_20_24;POP_25_34;POP_35_44;POP_45_54; POP_55_64;POP_65
60101;Graz;Graz;0.38;0.67;0.77;0.78;0.78;0.73;0.50
60669;Seiersberg - Pirka;Graz-Umgebung;0.45;0.74;0.84;0.85;0.85;0.8;0.57
60608;Feldkirchen bei Graz;Graz-Umgebung;0.45;0.74;0.84;0.85;0.85;0.8;0.57
60611;Gössendorf;Graz-Umgebung;0.45;0.74;0.84;0.85;0.85;0.8;0.57
60670;Premstätten;Graz-Umgebung;0.45;0.74;0.84;0.85;0.85;0.8;0.57
60662;Fernitz-Mellach;Graz-Umgebung;0.45;0.74;0.84;0.85;0.85;0.8;0.57
60656;Wundschuh;Graz-Umgebung;0.45;0.74;0.84;0.85;0.85;0.8;0.57
60655;Werndorf;Graz-Umgebung;0.45;0.74;0.84;0.85;0.85;0.8;0.57
60624;Kalsdorf bei Graz;Graz-Umgebung;0.45;0.74;0.84;0.85;0.85;0.8;0.57
60660;Dobl-Zwaring;Graz-Umgebung;0.45;0.74;0.84;0.85;0.85;0.8;0.57
60629;Lieboch;Graz-Umgebung;0.45;0.74;0.84;0.85;0.85;0.8;0.57
60618;Haselsdorf-Tobelbad;Graz-Umgebung;0.45;0.74;0.84;0.85;0.85;0.8;0.57
61059;Wildon;Leibnitz;0.45;0.74;0.84;0.85;0.85;0.8;0.57
61001;Allerheiligen bei Wildon;Leibnitz;0.45;0.74;0.84;0.85;0.85;0.8;0.57
61055;Sankt Georgen an der Stiefing;Leibnitz;0.45;0.74;0.84;0.85;0.85;0.8;0.57
61021;Lebring-Sankt Margarethen;Leibnitz;0.45;0.74;0.84;0.85;0.85;0.8;0.57
61017;Hengsberg;Leibnitz;0.45;0.74;0.84;0.85;0.85;0.8;0.57
61020;Lang;Leibnitz;0.45;0.74;0.84;0.85;0.85;0.8;0.57
61012;Gralla;Leibnitz;0.45;0.74;0.84;0.85;0.85;0.8;0.57
61043;Tillmitsch;Leibnitz;0.45;0.74;0.84;0.85;0.85;0.8;0.57
61053;Leibnitz;Leibnitz;0.45;0.74;0.84;0.85;0.85;0.8;0.57
61027;Ragnitz;Leibnitz;0.45;0.74;0.84;0.85;0.85;0.8;0.57
61016;Heimschuh;Leibnitz;0.45;0.74;0.84;0.85;0.85;0.8;0.57
61045;Wagna;Leibnitz;0.45;0.74;0.84;0.85;0.85;0.8;0.57
61008;Gabersdorf;Leibnitz;0.45;0.74;0.84;0.85;0.85;0.8;0.57
61050;Gamlitz;Leibnitz;0.45;0.74;0.84;0.85;0.85;0.8;0.57
61049;Ehrenhausen an der Weinstraße;Leibnitz;0.45;0.74;0.84;0.85;0.85;0.8;0.57
61058;Straß in Steiermark;Leibnitz;0.45;0.74;0.84;0.85;0.85;0.8;0.57
62347;Murfeld;Südoststeiermark;0.45;0.74;0.84;0.85;0.85;0.8;0.57