GKZ;Name;Bezirk;PKW-Dichte
60101;Graz;Graz-Umgebung;470.1
60669;Seiersberg - Pirka;Graz-Umgebung;643.5
60608;Feldkirchen bei Graz;Graz-Umgebung;643.5
60611;Gössendorf;Graz-Umgebung;643.5
60670;Premstätten;Graz-Umgebung;643.5
60662;Fernitz-Mellach;Graz-Umgebung;643.5
60656;Wundschuh;Graz-Umgebung;643.5
60655;Werndorf;Graz-Umgebung;643.5
60624;Kalsdorf bei Graz;Graz-Umgebung;643.5
60660;Dobl-Zwaring;Graz-Umgebung;643.5
60629;Lieboch;Graz-Umgebung;643.5
60618;Haselsdorf-Tobelbad;Graz-Umgebung;643.5
61059;Wildon;Leibnitz;659.3
61001;Allerheiligen bei Wildon;Leibnitz;659.3
61055;Sankt Georgen an der Stiefing;Leibnitz;659.3
61021;Lebring-Sankt Margarethen;Leibnitz;659.3
61017;Hengsberg;Leibnitz;659.3
61020;Lang;Leibnitz;659.3
61012;Gralla;Leibnitz;659.3
61043;Tillmitsch;Leibnitz;659.3
61053;Leibnitz;Leibnitz;659.3
61027;Ragnitz;Leibnitz;659.3
61016;Heimschuh;Leibnitz;659.3
61045;Wagna;Leibnitz;659.3
61008;Gabersdorf;Leibnitz;659.3
61050;Gamlitz;Leibnitz;659.3
61049;Ehrenhausen an der Weinstraße;Leibnitz;659.3
61058;Straß in Steiermark;Leibnitz;659.3
62347;Murfeld;Südoststeiermark;684.9