GKZ;Name;Bezirk;Mobil_Fuehrerschein;Mobil_ohneFuehrerschein
60101;Graz;Graz-Umgebung;0.90;0.79
60669;Seiersberg - Pirka;Graz-Umgebung;0.90;0.79
60608;Feldkirchen bei Graz;Graz-Umgebung;0.90;0.79
60611;Gössendorf;Graz-Umgebung;0.90;0.79
60670;Premstätten;Graz-Umgebung;0.90;0.79
60662;Fernitz-Mellach;Graz-Umgebung;0.90;0.79
60656;Wundschuh;Graz-Umgebung;0.90;0.79
60655;Werndorf;Graz-Umgebung;0.90;0.79
60624;Kalsdorf bei Graz;Graz-Umgebung;0.90;0.79
60660;Dobl-Zwaring;Graz-Umgebung;0.90;0.79
60629;Lieboch;Graz-Umgebung;0.90;0.79
60618;Haselsdorf-Tobelbad;Graz-Umgebung;0.90;0.79
61059;Wildon;Leibnitz;0.90;0.79
61001;Allerheiligen bei Wildon;Leibnitz;0.90;0.79
61055;Sankt Georgen an der Stiefing;Leibnitz;0.90;0.79
61021;Lebring-Sankt Margarethen;Leibnitz;0.90;0.79
61017;Hengsberg;Leibnitz;0.90;0.79
61020;Lang;Leibnitz;0.90;0.79
61012;Gralla;Leibnitz;0.90;0.79
61043;Tillmitsch;Leibnitz;0.90;0.79
61053;Leibnitz;Leibnitz;0.90;0.79
61027;Ragnitz;Leibnitz;0.90;0.79
61016;Heimschuh;Leibnitz;0.90;0.79
61045;Wagna;Leibnitz;0.90;0.79
61008;Gabersdorf;Leibnitz;0.90;0.79
61050;Gamlitz;Leibnitz;0.90;0.79
61049;Ehrenhausen an der Weinstraße;Leibnitz;0.90;0.79
61058;Straß in Steiermark;Leibnitz;0.90;0.79
62347;Murfeld;Südoststeiermark;0.90;0.79